variant,notes,rho,top50,top50_mean_actual,n,rho_GKP,rho_DEF,rho_MID,rho_FWD
BASELINE last season pts,reference,0.5276833946725815,17,111.9,759,0.569586295534634,0.532876353691082,0.546120089969165,0.36393108337890806
CORRECTED baseline,promoted-club fix only,0.6901655593515273,18,118.7,759,0.7508260769397481,0.6347777299095366,0.72277149883915,0.6361123088413329
min: last10,,0.6878902555970055,16,119.38,759,0.7446299441113412,0.6190209544476584,0.7315261671023519,0.636728573188109
min: blend,,0.6903520802731179,17,119.72,759,0.7533916631890103,0.6277144684402799,0.727335085730854,0.6341253875853475
min: starter 85,,0.6897237492704384,18,117.98,759,0.7506324477888604,0.6346630602637587,0.7227498928881474,0.6364523167567956
min: starter 88,,0.689946819909698,19,118.78,759,0.7506324477888604,0.6337802983466004,0.7229350416945496,0.6361016835939747
min: starter 70,,0.6901760520265922,16,114.44,759,0.7508260769397481,0.6338856389364507,0.722742953750599,0.6362079360675568
bonus: fitted (binned),,0.6900224901202848,17,114.64,759,0.7516199564583878,0.6340866023495598,0.7217820409078319,0.6379717271290196
rates: combined xGI,,0.6901655593515273,18,118.7,759,0.7508260769397481,0.6347777299095366,0.72277149883915,0.6361123088413329
rates: shrink 14/10,,0.6899572147835303,19,119.84,759,0.7508260769397481,0.632770816753091,0.7232491953762815,0.63980989492199
rates: shrink 4/3,,0.6902356688634781,18,118.7,759,0.7512230166990679,0.636045704094376,0.7214836579932553,0.6376317192135569
rates: shrink 20/14,,0.6897751228606025,20,121.56,759,0.7508260769397481,0.6316758188135777,0.7240673827762938,0.6407449166895126
impute: price regression,,0.6996048872012627,18,118.7,759,0.7514166458499556,0.6435404344002885,0.730309137000984,0.6456325304742893
price weight 0.50,,0.6986094383157582,17,116.02,759,0.7580968515555817,0.6454303456469743,0.7264845682581734,0.6554927600227084
price weight 0.70,,0.7036133824796972,17,114.98,759,0.7622017895544012,0.6524516263645564,0.7282467937800968,0.6624841727844107
price weight 0.15,,0.6797358123939484,20,123.56,759,0.7520362591327963,0.6191196869562264,0.7146252667727964,0.6187187789159426
ensemble 20% baseline,,0.6799649981021978,19,121.6,759,0.7427066043753658,0.6198318606403646,0.7113613804846964,0.6161474690552557
