,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
ARS,COV(h),AVL(a),CHE(h),SUN(a),BHA(a),LEE(h),NFO(a),EVE(h),LIV(a),HUL(h),NEW(a),MCI(h),BRE(a),TOT(a),BOU(h),MUN(h),CRY(a),FUL(a),IPS(h),BRE(h),HUL(a),NEW(h),MCI(a),LIV(h),IPS(a),FUL(h),MUN(a),CRY(h),CHE(a),SUN(h),COV(a),AVL(h),BOU(a),TOT(h),LEE(a),NFO(h),EVE(a),BHA(h)
AVL,BHA(a),ARS(h),HUL(a),NFO(h),TOT(a),BRE(h),NEW(a),MCI(h),FUL(h),MUN(a),SUN(h),IPS(a),EVE(h),CRY(h),COV(a),CHE(a),LEE(h),LIV(h),BOU(a),EVE(a),MUN(h),FUL(a),IPS(h),SUN(a),BOU(h),LEE(a),CHE(h),LIV(a),HUL(h),NFO(a),BHA(h),ARS(a),COV(h),CRY(a),BRE(a),NEW(h),MCI(a),TOT(h)
BOU,MCI(a),EVE(h),NEW(a),BRE(h),LIV(h),CHE(a),SUN(h),MUN(a),LEE(h),IPS(a),NFO(h),FUL(a),BHA(h),HUL(h),ARS(a),COV(h),TOT(a),CRY(a),AVL(h),BHA(a),IPS(h),NFO(a),FUL(h),LEE(a),AVL(a),CRY(h),COV(a),TOT(h),NEW(h),BRE(a),MCI(h),EVE(a),ARS(h),HUL(a),MUN(h),SUN(a),CHE(h),LIV(a)
BRE,TOT(h),LEE(a),SUN(h),BOU(a),CHE(h),AVL(a),LIV(h),HUL(a),NFO(h),BHA(a),EVE(h),MUN(a),ARS(h),MCI(h),FUL(a),NEW(h),IPS(a),COV(a),CRY(h),ARS(a),BHA(h),EVE(a),MUN(h),NFO(a),CRY(a),COV(h),NEW(a),IPS(h),SUN(a),BOU(h),TOT(a),LEE(h),FUL(h),MCI(a),AVL(h),LIV(a),HUL(h),CHE(a)
BHA,AVL(h),CHE(a),LEE(h),COV(a),ARS(h),SUN(a),CRY(h),LIV(a),MCI(a),BRE(h),HUL(a),NEW(h),BOU(a),NFO(a),EVE(h),IPS(h),FUL(a),TOT(a),MUN(h),BOU(h),BRE(a),MCI(h),NEW(a),HUL(h),MUN(a),TOT(h),IPS(a),FUL(h),LEE(a),COV(h),AVL(a),CHE(h),EVE(a),NFO(h),SUN(h),CRY(a),LIV(h),ARS(a)
CHE,FUL(a),BHA(h),ARS(a),HUL(h),BRE(a),BOU(h),EVE(a),TOT(h),MUN(h),SUN(a),LEE(h),NFO(a),CRY(h),LIV(h),MCI(a),AVL(h),COV(a),IPS(a),NEW(h),CRY(a),SUN(h),LEE(a),NFO(h),MUN(a),NEW(a),IPS(h),AVL(a),COV(h),ARS(h),HUL(a),FUL(h),BHA(a),MCI(h),LIV(a),TOT(a),EVE(h),BOU(a),BRE(h)
COV,ARS(a),HUL(h),MCI(a),BHA(h),NFO(a),NEW(h),TOT(a),FUL(h),SUN(h),EVE(a),CRY(h),LEE(a),IPS(h),MUN(a),AVL(h),BOU(a),CHE(h),BRE(h),LIV(a),IPS(a),EVE(h),SUN(a),LEE(h),CRY(a),LIV(h),BRE(a),BOU(h),CHE(a),MCI(h),BHA(a),ARS(h),HUL(a),AVL(a),MUN(h),NEW(a),TOT(h),FUL(a),NFO(h)
CRY,EVE(a),MCI(h),FUL(a),IPS(h),LEE(a),NFO(h),BHA(a),NEW(h),TOT(a),LIV(h),COV(a),HUL(h),CHE(a),AVL(a),MUN(h),SUN(a),ARS(h),BOU(h),BRE(a),CHE(h),LIV(a),TOT(h),HUL(a),COV(h),BRE(h),BOU(a),SUN(h),ARS(a),FUL(h),IPS(a),EVE(h),MCI(a),MUN(a),AVL(h),NFO(a),BHA(h),NEW(a),LEE(h)
EVE,CRY(h),BOU(a),MUN(h),TOT(a),IPS(h),HUL(a),CHE(h),ARS(a),NEW(a),COV(h),BRE(a),LIV(h),AVL(a),FUL(h),BHA(a),NFO(a),SUN(h),MCI(h),LEE(a),AVL(h),COV(a),BRE(h),LIV(a),NEW(h),LEE(h),SUN(a),NFO(h),MCI(a),MUN(a),TOT(h),CRY(a),BOU(h),BHA(h),FUL(a),HUL(h),CHE(a),ARS(h),IPS(a)
FUL,CHE(h),SUN(a),CRY(h),LIV(a),MUN(h),IPS(a),HUL(h),COV(a),AVL(a),NEW(h),MCI(a),BOU(h),TOT(a),EVE(a),BRE(h),LEE(a),BHA(h),ARS(h),NFO(a),TOT(h),NEW(a),AVL(h),BOU(a),MCI(h),NFO(h),ARS(a),LEE(h),BHA(a),CRY(a),LIV(h),CHE(a),SUN(h),BRE(a),EVE(h),IPS(h),HUL(a),COV(h),MUN(a)
