player_code,web_name,team_s,pos,price,own,status,news,chance_of_playing_next_round,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,p_mins,p_starts,p_pts,p_ppg,p_xg90,p_xa90,p_xgi90,p_xgc90,p_bonus,p_bps90,p_yc90,p_saves90,p_price_end,p_team_code,p_apps,p_dc_hits,p_dc_rate,p_dc_actions90,p_dc_p90,has_history
154561,Raya,ARS,GKP,6.0,34.6,a,,,,,,3330.0,37.0,162.0,4.378378378378378,0.0,0.001891891891891892,0.001891891891891892,0.7448648648648648,11.0,17.10810810810811,0.02702702702702703,1.6216216216216217,6.2,3.0,,,,,,True
109745,Arrizabalaga,ARS,GKP,5.0,0.1,a,,,,,,90.0,1.0,2.0,2.0,0.0,0.0,0.0,0.98,0.0,11.0,0.0,2.0,4.0,3.0,,,,,,True
437495,Meslier,ARS,GKP,5.0,0.0,a,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.0,,,,,,False
226597,Gabriel,ARS,DEF,8.0,28.9,a,,,,,,2750.0,30.0,209.0,6.84,0.09621818181818181,0.05727272727272727,0.15349090909090907,0.7203272727272727,30.0,23.69454545454545,0.1309090909090909,0.0,7.3,3.0,32.0,12.0,0.375,9.556363636363637,0.7854545454545454,True
445122,J.Timber,ARS,DEF,6.5,0.2,i,Groin injury - Unknown return date,0.0,,,,2452.0,28.0,149.0,5.469004893964111,0.17287928221859708,0.056158238172920066,0.22903752039151715,0.6404975530179445,9.0,19.526916802610113,0.1835236541598695,0.0,6.0,3.0,30.0,7.0,0.2333333333333333,6.533442088091355,0.5138662316476346,True
462424,Saliba,ARS,DEF,6.0,0.4,i,Back injury - Unknown return date,0.0,,,,2614.0,30.0,137.0,4.716908951798011,0.03029839326702372,0.04166029074215761,0.07195868400918133,0.7027161438408569,12.0,20.003825554705433,0.06885998469778118,0.0,6.3,3.0,31.0,8.0,0.2580645161290322,7.712318286151492,0.5508798775822494,True
499169,Lewis-Skelly,ARS,MID,5.5,0.5,a,,,,,,697.0,5.0,29.0,3.744619799139168,0.01291248206599713,0.02582496413199426,0.038737446197991396,1.1634146341463414,0.0,14.203730272596843,0.38737446197991393,0.0,5.0,3.0,20.0,0.0,0.0,4.131994261119082,0.0,True
466075,Calafiori,ARS,DEF,5.5,28.2,a,,,,,,1697.0,22.0,109.0,5.780789628756629,0.17819681791396583,0.04030642309958751,0.21850324101355334,0.5154979375368298,6.0,20.63052445492045,0.26517383618149676,0.0,5.6,3.0,26.0,5.0,0.1923076923076923,7.4779021803182095,0.5303476723629935,True
448104,Hincapie,ARS,DEF,5.5,2.7,a,,,,,,1787.0,20.0,87.0,4.38164521544488,0.01813094571908226,0.08410744264129827,0.10223838836038052,0.8828763290430891,7.0,16.871852266368215,0.10072747621712368,0.0,5.1,3.0,25.0,7.0,0.28,8.612199216564074,0.7050923335198658,True
198869,White,ARS,DEF,5.5,3.4,a,,100.0,,,,699.0,9.0,45.0,5.793991416309013,0.057939914163090134,0.08884120171673819,0.1467811158798283,1.1175965665236052,3.0,23.30472103004292,0.0,0.0,5.1,3.0,12.0,1.0,0.0833333333333333,6.824034334763948,0.2575107296137339,True
500040,Mosquera,ARS,DEF,5.5,11.4,a,,,,,,986.0,9.0,40.0,3.6511156186612577,0.009127789046653144,0.05750507099391481,0.06663286004056795,0.8251521298174441,1.0,17.79918864097363,0.36511156186612576,0.0,5.3,3.0,20.0,4.0,0.2,9.858012170385395,0.7302231237322515,True
223340,Saka,ARS,MID,9.5,9.5,a,,,1.0,2.0,2.0,2218.0,25.0,157.0,6.370604147880973,0.30716862037871956,0.2905320108205591,0.5977006311992786,0.631785392245266,18.0,23.128944995491434,0.0811541929666366,0.0,10.0,3.0,31.0,5.0,0.1612903225806451,7.466185752930568,0.405770964833183,True
204480,Rice,ARS,MID,7.5,19.7,a,,,,1.0,1.0,3093.0,35.0,184.0,5.354025218234724,0.09165858389912705,0.21299709020368573,0.3046556741028128,0.6945683802133851,23.0,22.987390882638216,0.08729388942774005,0.0,7.2,3.0,36.0,14.0,0.3888888888888889,10.940834141610088,0.8147429679922406,True
232413,Eze,ARS,MID,6.5,2.4,a,,,,,3.0,1885.0,22.0,113.0,5.395225464190982,0.2473209549071618,0.12700265251989393,0.3743236074270557,0.6784615384615386,8.0,20.960212201591514,0.04774535809018568,0.0,7.3,3.0,33.0,0.0,0.0,5.729442970822282,0.0,True
184029,Ødegaard,ARS,MID,6.5,5.8,a,,,3.0,4.0,,1363.0,16.0,74.0,4.886280264123258,0.08253851797505503,0.24101247248716068,0.32355099046221575,1.0696991929567132,5.0,20.20542920029347,0.0,0.0,7.8,3.0,24.0,1.0,0.0416666666666666,6.735143066764491,0.132061628760088,True
